tag,id,min_letter_mass,missing_letter_entries
gemma4_12b_base,215,0.9843000000000001,0
gemma4_12b_base,216,0.977,0
gemma4_12b_base,217,0.9893000000000001,0
gemma4_12b_base,218,0.9768,0
gemma4_12b_base,219,0.9645,0
gemma4_12b_base,220,0.9857999999999999,0
gemma4_12b_base,221,0.986,0
gemma4_12b_base,222,0.9730000000000001,0
gemma4_12b_base,223,0.9736,0
gemma4_12b_base,224,0.9788,0
gemma4_12b_base,225,0.9880999999999999,0
gemma4_12b_base,226,0.9857,0
gemma4_12b_base,227,0.9882,0
gemma4_12b_base,228,0.9921,0
gemma4_12b_base,229,0.9859999999999999,0
gemma4_12b_base,230,0.9914999999999999,0
gemma4_12b_base,301,0.9945999999999999,0
gemma4_12b_base,302,0.9884000000000001,0
gemma4_12b_base,303,0.9875,0
gemma4_12b_base,304,0.9964000000000001,0
gemma4_12b_base,305,0.9843999999999999,0
gemma4_12b_base,306,0.9939000000000001,0
gemma4_12b_base,307,0.9968,0
gemma4_12b_base,308,0.9936,0
gemma4_12b_base,309,0.9922,0
gemma4_12b_base,310,0.9957,0
gemma4_12b_base,311,0.9955999999999999,0
gemma4_12b_base,312,0.9933,0
gemma4_12b_base,313,0.9833,0
gemma4_12b_base,314,0.9939999999999999,0
gemma4_12b_base,315,0.9967,0
gemma4_12b_base,316,0.9842,0
gemma4_12b_base,317,0.9775,0
gemma4_12b_base,318,0.9938,0
gemma4_12b_base,319,0.9970000000000001,0
gemma4_12b_base,320,0.9949,0
gemma4_12b_base,321,0.9917,0
gemma4_12b_base,322,0.9626,0
gemma4_12b_base,323,0.9922,0
gemma4_12b_base,324,0.9985,0
gemma4_12b_base,325,0.99,0
gemma4_12b_base,326,0.9951000000000001,0
gemma4_12b_base,327,0.9906999999999999,0
gemma4_12b_base,328,0.9803000000000001,0
gemma4_12b_base,329,0.9959999999999999,0
gemma4_12b_base,330,0.9966,0
gemma4_26b_base,1,0.9317,0
gemma4_26b_base,2,0.9194,0
gemma4_26b_base,3,0.9559,0
gemma4_26b_base,4,0.9403999999999999,0
gemma4_26b_base,6,0.9566999999999999,0
gemma4_26b_base,8,0.9467000000000001,0
gemma4_26b_base,9,0.9639000000000001,0
gemma4_26b_base,10,0.9648,0
gemma4_26b_base,11,0.9497000000000001,0
gemma4_26b_base,14,0.963,0
gemma4_26b_base,15,0.9618,0
gemma4_26b_base,16,0.9812,0
gemma4_26b_base,17,0.9461999999999999,0
gemma4_26b_base,19,0.9611000000000001,0
gemma4_26b_base,22,0.9774,0
gemma4_26b_base,23,0.9453000000000001,0
gemma4_26b_base,24,0.9509,0
gemma4_26b_base,25,0.9552999999999999,0
gemma4_26b_base,27,0.9491,0
gemma4_26b_base,28,0.9665,0
gemma4_26b_base,29,0.9769,0
gemma4_26b_base,30,0.9556,0
gemma4_26b_base,31,0.8153,0
gemma4_26b_base,32,0.8985000000000001,0
gemma4_26b_base,33,0.9267000000000001,0
gemma4_26b_base,34,0.9410999999999999,0
gemma4_26b_base,35,0.9169,0
gemma4_26b_base,36,0.8789,0
gemma4_26b_base,37,0.9481999999999999,0
gemma4_26b_base,38,0.9246000000000001,0
gemma4_26b_base,39,0.9396,0
gemma4_26b_base,40,0.9034,0
gemma4_26b_base,41,0.9405,0
gemma4_26b_base,42,0.916,0
gemma4_26b_base,43,0.8729,0
gemma4_26b_base,44,0.9443,0
gemma4_26b_base,45,0.9721000000000001,0
gemma4_26b_base,46,0.9581999999999999,0
gemma4_26b_base,47,0.9637000000000001,0
gemma4_26b_base,48,0.9612,0
gemma4_26b_base,49,0.9513999999999999,0
gemma4_26b_base,50,0.9297,0
gemma4_26b_base,51,0.9531000000000001,0
gemma4_26b_base,52,0.9516999999999999,0
gemma4_26b_base,53,0.9710000000000001,0
gemma4_26b_base,54,0.9459000000000001,0
gemma4_26b_base,55,0.913,0
gemma4_26b_base,56,0.9252999999999999,0
gemma4_26b_base,57,0.9466,0
gemma4_26b_base,58,0.9605,0
gemma4_26b_base,59,0.9403000000000001,0
gemma4_26b_base,60,0.9408,0
gemma4_26b_base,61,0.9509000000000001,0
gemma4_26b_base,62,0.9059999999999999,0
gemma4_26b_base,63,0.9550000000000001,0
gemma4_26b_base,64,0.9556,0
gemma4_26b_base,65,0.9688000000000001,0
gemma4_26b_base,66,0.9017999999999999,0
gemma4_26b_base,67,0.9622,0
gemma4_26b_base,68,0.9036,0
gemma4_26b_base,69,0.9626,0
gemma4_26b_base,70,0.9039,0
gemma4_26b_base,71,0.9590000000000001,0
gemma4_26b_base,72,0.9117,0
gemma4_26b_base,73,0.9681000000000001,0
gemma4_26b_base,74,0.8964000000000001,0
gemma4_26b_base,75,0.9384,0
gemma4_26b_base,76,0.9729000000000001,0
gemma4_26b_base,77,0.9575,0
gemma4_26b_base,78,0.9588,0
gemma4_26b_base,79,0.9451999999999999,0
gemma4_26b_base,80,0.9326,0
gemma4_26b_base,81,0.9410000000000001,0
gemma4_26b_base,82,0.9527000000000001,0
gemma4_26b_base,83,0.9614,0
gemma4_26b_base,84,0.9759000000000001,0
gemma4_26b_base,85,0.9641,0
gemma4_26b_base,86,0.9473,0
gemma4_26b_base,87,0.9524,0
gemma4_26b_base,88,0.9364999999999999,0
gemma4_26b_base,89,0.9748,0
gemma4_26b_base,90,0.9625999999999999,0
gemma4_26b_base,91,0.9504999999999999,0
gemma4_26b_base,92,0.932,0
gemma4_26b_base,93,0.9459000000000002,0
gemma4_26b_base,94,0.9336,0
gemma4_26b_base,95,0.944,0
gemma4_26b_base,96,0.8764,0
gemma4_26b_base,97,0.9356,0
gemma4_26b_base,98,0.9675,0
gemma4_26b_base,99,0.9521999999999999,0
gemma4_26b_base,100,0.9348,0
gemma4_26b_base,101,0.8406999999999999,0
gemma4_26b_base,102,0.8922,0
gemma4_26b_base,103,0.9641,0
gemma4_26b_base,104,0.9564999999999999,0
gemma4_26b_base,105,0.9566,0
gemma4_26b_base,106,0.9478,0
gemma4_26b_base,107,0.9663,0
gemma4_26b_base,108,0.9621,0
gemma4_26b_base,109,0.9713,0
gemma4_26b_base,110,0.9703999999999999,0
gemma4_26b_base,111,0.9587,0
gemma4_26b_base,112,0.9649,0
gemma4_26b_base,113,0.9778,0
gemma4_26b_base,114,0.9793999999999999,0
gemma4_26b_base,115,0.9341,0
gemma4_26b_base,116,0.9636,0
